Trace
Swept SA
A.10.52,N9000A
7591000,-86.2928364009693
7630000,-86.91458771796
7669000,-85.8354018774315
7708000,-85.2657068646179
7747000,-85.064061115919
7786000,-85.9917652591551
7825000,-86.2269654023784
7864000,-85.7958554992766
7903000,-86.0065865584218
7942000,-86.478812807026
7981000,-86.4640185064522
8020000,-86.119426700732
8059000,-86.383368425898
8098000,-86.6829648446795
8137000,-86.2505485090501
8176000,-85.7657456156123
8215000,-86.2841245625419
8254000,-85.2274218647649
8293000,-85.6646656519463
8332000,-85.65507955049
8371000,-85.5688501789499
8410000,-86.3086154734432
8449000,-85.9721400865022
8488000,-85.8075477143685
8527000,-85.3757765653878
8566000,-85.537410367894
8605000,-85.8437230993243
8644000,-85.4675908189972
8683000,-86.4053146779414
8722000,-86.9783356362549
8761000,-86.1582829168129
8800000,-85.4555360606502
8839000,-85.1343210233102
8878000,-86.2485686794587
8917000,-86.9898675630298
8956000,-86.250902073063
8995000,-85.0969725531436
9034000,-86.0150182642253
9073000,-86.9403996097751
9112000,-87.4925314211158
9151000,-86.7312930623049
9190000,-85.7177790899614
9229000,-86.3213940370822
9268000,-86.4412612397938
9307000,-87.0303163128916
9346000,-86.885133125176
9385000,-86.5384142264437
9424000,-86.1855156674735
9463000,-86.1998216646531
9502000,-86.2947116135793
9541000,-85.6561409831956
9580000,-86.0828329387654
9619000,-85.7844404141447
9658000,-85.8255606695892
9697000,-85.569656810248
9736000,-86.3411151075565
9775000,-85.8379184560712
9814000,-86.0970649835378
9853000,-86.182465855445
9892000,-86.2633448045216
9931000,-86.8210789016439
9970000,-86.9967339359505
10009000,-86.2179292357071
10048000,-86.349958393422
10087000,-85.4415542708258
10126000,-85.5055090865621
10165000,-85.4136003665206
10204000,-85.954188730253
10243000,-85.8488824886149
10282000,-86.1969743549449
10321000,-86.2542846724488
10360000,-86.4930432173285
10399000,-86.0935429980256
10438000,-86.0266195066229
10477000,-86.5108868404664
10516000,-87.2576672849812
10555000,-86.3929430445864
10594000,-86.0145796633697
10633000,-85.4949444804363
10672000,-84.9808027174712
10711000,-85.3136530832737
10750000,-85.7013213159873
10789000,-86.5170779206461
10828000,-86.16307478015
10867000,-85.6588828972431
10906000,-85.7343942792815
10945000,-86.3589836068363
10984000,-86.1856791000129
11023000,-85.9981488606961
11062000,-86.1093198356796
11101000,-85.6358589844027
11140000,-85.7156020313032
11179000,-85.813242346211
11218000,-86.5833750823889
11257000,-85.9230976114826
11296000,-86.2414240091146
11335000,-87.0233403505946
11374000,-86.3897042508965
11413000,-86.2777073137642
11452000,-86.384720734897
11491000,-86.4631669681758
11530000,-86.1599891780619
11569000,-86.8386711964358
11608000,-87.3939266545908
11647000,-86.385840416121
11686000,-85.7133567790636
11725000,-86.279561589217
11764000,-86.2950970690235
11803000,-86.9191515567649
11842000,-85.6591519653972
11881000,-85.6524262561099
11920000,-86.5349458466169
11959000,-85.9800025008099
11998000,-86.224900865488
12037000,-86.1832510728446
12076000,-86.669392437351
12115000,-86.0491100082849
12154000,-86.1897483290492
12193000,-86.4548688741267
12232000,-86.6719256463582
12271000,-86.1139987183944
12310000,-86.8457105859961
12349000,-86.3585085988311
12388000,-86.6432744043486
12427000,-87.0713584975121
12466000,-87.3219464179352
12505000,-86.4879308604527
12544000,-86.4685344120326
12583000,-86.1263541402192
12622000,-85.7806404644741
12661000,-85.8833121093297
12700000,-85.7138696767623
12739000,-86.6524119962664
12778000,-86.1907365008252
12817000,-86.0134826500384
12856000,-86.4043371633906
12895000,-85.9672925490523
12934000,-85.7392309387082
12973000,-86.0690774497227
