Trace
Swept SA
A.10.52,N9000A
521351000,-76.7789375925457
524430000,-77.0369295988206
527509000,-76.6273775920961
530588000,-76.5782167007981
533667000,-77.3308199060523
536746000,-77.2776649611683
539825000,-76.2298665500663
542904000,-75.5770583949708
545983000,-75.9453195202729
549062000,-76.4988212619816
552141000,-75.6929530538395
555220000,-75.6847468430355
558299000,-75.2710752563765
561378000,-76.1053054247261
564457000,-75.4376194847738
567536000,-75.7032367512306
570615000,-75.1549219248374
573694000,-76.0357517450551
576773000,-75.7456877473955
579852000,-75.6417403670426
582931000,-74.8866949140096
586010000,-74.8124502819972
589089000,-75.2273489490115
592168000,-74.2107354524034
595247000,-74.5857670781999
598326000,-74.9889148064685
601405000,-75.1190420866208
604484000,-74.8200580931683
607563000,-75.1165884022694
610642000,-74.5457820283862
613721000,-75.3146823947824
616800000,-75.0140210031579
619879000,-75.1592692034341
622958000,-74.5199437191451
626037000,-74.7599302952824
629116000,-74.0146853170303
632195000,-73.5586208107057
635274000,-73.7830357908645
638353000,-74.4654048138885
641432000,-75.086186579918
644511000,-74.8985906637252
647590000,-75.2854003936695
650669000,-74.6741258750918
653748000,-74.8367089559041
656827000,-74.6699034452565
659906000,-74.7770016924473
662985000,-74.7292008947065
666064000,-75.6517255140547
669143000,-75.09644626248
672222000,-75.1654521750918
675301000,-75.1076312132678
678380000,-75.225436561343
681459000,-75.9139290089728
684538000,-74.8863581128569
687617000,-75.8691564658587
690696000,-75.918804836034
693775000,-76.0393294746309
696854000,-75.6969743564427
699933000,-76.142950474652
703012000,-75.5463444878441
706091000,-75.2554159829739
709170000,-75.6909426607492
712249000,-76.3866373607512
715328000,-76.0554823657277
718407000,-75.7178033447892
721486000,-76.2596481588067
724565000,-76.6249767683134
727644000,-75.667521923567
730723000,-76.5591194580784
733802000,-76.5464702940075
736881000,-76.1002835830582
739960000,-76.5422005847432
743039000,-75.9276296284042
746118000,-77.0021746404835
749197000,-76.3944423530593
752276000,-76.1765683199265
755355000,-76.640908438687
758434000,-75.8554567954327
761513000,-76.2900237041395
764592000,-76.2802187861712
767671000,-76.0581928891364
770750000,-77.2407412377172
773829000,-76.7053192337387
776908000,-76.0739637103857
779987000,-76.7893894663935
783066000,-76.9541252167849
786145000,-76.6694091601492
789224000,-77.1560965546036
792303000,-76.5729679299042
795382000,-77.4640917593459
798461000,-77.5343426434897
801540000,-77.1330902241115
804619000,-76.396243906459
807698000,-76.6707264125732
810777000,-76.1616042045499
813856000,-76.5786061722377
816935000,-77.0121305209198
820014000,-77.1746284445581
823093000,-76.9956821313256
826172000,-76.5679369009538
829251000,-76.7580952368453
832330000,-77.2977509732372
835409000,-76.0953244897986
838488000,-75.5529677925664
841567000,-76.4379440708584
844646000,-76.8436976070296
847725000,-77.6963361889381
850804000,-75.7643018370009
853883000,-75.6160098723435
856962000,-76.8470234604626
860041000,-77.7981960758596
863120000,-76.6285028940071
866199000,-75.6564166931182
869278000,-75.6401026497149
872357000,-76.0227224620532
875436000,-75.6871815429606
878515000,-75.251759644272
881594000,-76.2028110089287
884673000,-76.2839339442059
887752000,-75.5363895020554
890831000,-76.3384552462696
893910000,-77.014315658523
896989000,-75.7869564239195
900068000,-76.2634896479683
903147000,-76.4883278433566
906226000,-76.4113391381672
909305000,-75.7663591278527
912384000,-76.8723604674019
915463000,-76.3233218385615
918542000,-76.615069095327
921621000,-76.2043159080131
924700000,-75.9796571787327
927779000,-76.1126451855
930858000,-75.650100682705
933937000,-76.3843865667889
937016000,-76.3113791961384
940095000,-76.4072955064459
943174000,-76.5149502613682
946253000,-75.6989413986805
949332000,-76.4619541965952
