Trace
Swept SA
A.10.52,N9000A
54911000,-77.5206673340255
55230000,-77.5017492737346
55549000,-76.8651256430717
55868000,-78.0309708617337
56187000,-77.0603701431945
56506000,-77.9500978766069
56825000,-78.1895133234344
57144000,-77.8404569813189
57463000,-77.9253082455619
57782000,-77.6400347481028
58101000,-76.6054266393579
58420000,-77.4364772252078
58739000,-78.1026473966732
59058000,-77.3677699671423
59377000,-77.1680374771323
59696000,-76.4573084432743
60015000,-76.9262719166921
60334000,-77.0659767423517
60653000,-76.6260259241175
60972000,-77.6156878976097
61291000,-77.693035952541
61610000,-77.4601530243258
61929000,-77.6512865794859
62248000,-77.0003737664116
62567000,-78.1947489941267
62886000,-77.1755383711332
63205000,-77.3633629483509
63524000,-76.5564443980402
63843000,-76.9208721745241
64162000,-78.5626428272646
64481000,-77.4052263391848
64800000,-77.96845325097
65119000,-77.6641018555945
65438000,-76.4223863597546
65757000,-76.9007172762364
66076000,-77.285236918027
66395000,-76.4737061113075
66714000,-77.2512515641887
67033000,-77.2587942970584
67352000,-77.2511788530093
67671000,-77.64130635975
67990000,-77.4436353973205
68309000,-78.6535943304651
68628000,-76.8510976759709
68947000,-78.2255911233717
69266000,-77.480910687747
69585000,-77.1092877616242
69904000,-77.8933617375292
70223000,-76.9478516589746
70542000,-76.3590181170026
70861000,-77.6470603040463
71180000,-77.6130097525855
71499000,-77.6447723358557
71818000,-77.6827251267013
72137000,-77.7944713911976
72456000,-77.7994221932842
72775000,-77.1899478291078
73094000,-77.3774954968854
73413000,-77.6314953600466
73732000,-77.5434828236469
74051000,-77.478655838045
74370000,-77.2479898501496
74689000,-77.7106076737246
75008000,-76.7213018735199
75327000,-77.5586345784676
75646000,-77.4542597223565
75965000,-77.6193643555312
76284000,-76.791231666356
76603000,-77.1734839838489
76922000,-77.5904334172927
77241000,-77.4333317126162
77560000,-77.1907959955571
77879000,-77.5397409319837
78198000,-77.0226967280007
78517000,-77.043869800988
78836000,-77.4998691009682
79155000,-77.3002333632505
79474000,-76.6798414735747
79793000,-77.6689341915422
80112000,-77.6718470791793
80431000,-76.6178061090316
80750000,-77.9331554216461
81069000,-76.6078582727086
81388000,-76.858803259589
81707000,-76.7327214408133
82026000,-78.2689089002916
82345000,-76.9414552865174
82664000,-76.566834271959
82983000,-77.4263497859877
83302000,-77.9354299018875
83621000,-78.2365971520646
83940000,-77.5435511670166
84259000,-78.0233882289827
84578000,-77.017639641629
84897000,-77.0811418872997
85216000,-77.7466342241165
85535000,-78.1112271759525
85854000,-77.5238407731467
86173000,-77.4747923467617
86492000,-77.4957360944807
86811000,-76.8938544474763
87130000,-76.4662556337532
87449000,-76.9619337099947
87768000,-77.1324621518885
88087000,-77.0763498628454
88406000,-76.829617845638
88725000,-77.2652826394278
89044000,-77.4761711896537
89363000,-77.9392549823887
89682000,-76.4198398427232
90001000,-78.3960249604645
90320000,-77.592323631161
90639000,-76.8052276541637
90958000,-77.6175097839985
91277000,-77.8739212317134
91596000,-77.3363375556431
91915000,-77.4715076691073
92234000,-77.9374780258642
92553000,-78.1664727158428
92872000,-77.8259089246955
93191000,-77.4431987262327
93510000,-78.1559667709716
93829000,-77.6455592184846
94148000,-77.3714181555727
94467000,-77.5402483484541
94786000,-77.2466536371345
95105000,-77.3196623193037
95424000,-77.5552869938084
95743000,-78.138255992355
96062000,-77.9441012164631
96381000,-77.2293092593484
96700000,-77.0151494308812
97019000,-77.5557955425184
97338000,-77.0077313893577
97657000,-77.2585467765431
97976000,-76.5188158724475
98295000,-77.3143819675395
98614000,-76.7059231639694
98933000,-77.7861650266428
99252000,-77.8890819902338
99571000,-76.9638461328639
99890000,-77.7543563858236
100209000,-77.8437772957625
100528000,-77.2083426004723
100847000,-77.9481435099108
101166000,-77.0870075213433
101485000,-77.4320282644111
101804000,-77.2471392257933
102123000,-77.1192176480183
102442000,-77.8561347082363
102761000,-77.6597886499292
103080000,-77.0800341933088
103399000,-78.0589429801576
