Trace
Swept SA
A.10.52,N9000A
108991000,-77.2939265855898
109630000,-77.7209189417773
110269000,-76.5874992721987
110908000,-77.1611862462406
111547000,-77.4899221304196
112186000,-76.7766214313132
112825000,-76.2133861711642
113464000,-76.8441746785794
114103000,-77.2208611363876
114742000,-77.7252866018417
115381000,-77.7767621176885
116020000,-77.446819644427
116659000,-77.211279835017
117298000,-77.5078272501241
117937000,-78.0052624119528
118576000,-77.0007221148625
119215000,-77.3525884783493
119854000,-77.5321809607603
120493000,-77.3351964218673
121132000,-77.9608075141733
121771000,-76.9640564397222
122410000,-76.7115352937176
123049000,-76.0177373088051
123688000,-77.6043539914162
124327000,-77.070559047059
124966000,-77.1911601107382
125605000,-77.5650504574439
126244000,-77.6955154513202
126883000,-77.9880680212306
127522000,-77.3163266823228
128161000,-76.6781164471142
128800000,-77.36752770512
129439000,-77.5477737304017
130078000,-77.5524184859107
130717000,-78.1127321562317
131356000,-77.0789280488102
131995000,-77.1223943452746
132634000,-77.2425770695362
133273000,-76.9757444797073
133912000,-77.2172053734601
134551000,-76.7125328202533
135190000,-76.8075136146077
135829000,-76.7863213158402
136468000,-77.703272443048
137107000,-77.3437993122381
137746000,-77.6202981260622
138385000,-77.3769438922807
139024000,-77.6452587846472
139663000,-77.3016533168921
140302000,-77.5103276405068
140941000,-77.4694438475321
141580000,-76.4436700941945
142219000,-76.9832806042941
142858000,-76.8960092307209
143497000,-77.6976139839995
144136000,-77.5663036585295
144775000,-76.4163937563218
145414000,-77.0474404183727
146053000,-76.9309485829666
146692000,-76.6280441783974
147331000,-77.1445968368946
147970000,-76.2002291346199
148609000,-76.2699889502506
149248000,-76.8022436828666
149887000,-77.0257432184504
150526000,-77.4121662353866
151165000,-77.1434743003983
151804000,-77.4057748200936
152443000,-76.5969032297436
153082000,-75.9739701033122
153721000,-76.7161764517479
154360000,-76.8612092537854
154999000,-77.3508655503973
155638000,-76.5673584151294
156277000,-76.4397566765434
156916000,-76.9195800251825
157555000,-75.8850160195731
158194000,-77.1015752273123
158833000,-77.1960686518875
159472000,-76.9317062170285
160111000,-76.8798146266169
160750000,-76.3464053050542
161389000,-76.8463113544163
162028000,-76.3214533793259
162667000,-76.333196915258
163306000,-77.5120668417445
163945000,-77.1651003549966
164584000,-76.1422605770195
165223000,-76.6283808442647
165862000,-76.8418669032594
166501000,-76.4033300680434
167140000,-76.5717069563462
167779000,-76.627707068827
168418000,-76.5979070235306
169057000,-75.8244561503208
169696000,-75.8749137641218
170335000,-76.3510195360134
170974000,-75.1986321952254
171613000,-77.0363236221422
172252000,-76.1793327495417
172891000,-76.0654876420885
173530000,-76.281557879812
174169000,-77.2202591717995
174808000,-76.5754461859511
175447000,-76.65905938678
176086000,-75.962540142629
176725000,-77.4419671280338
177364000,-75.8522567744618
178003000,-76.7930763398878
178642000,-76.1821162691522
179281000,-75.9639801524885
179920000,-76.9375626629492
180559000,-76.9419430192368
181198000,-76.7732509006174
181837000,-76.6805272486026
182476000,-75.9234298427787
183115000,-76.5794448621826
183754000,-76.2871967840781
184393000,-75.8526430744369
185032000,-77.6312180850753
185671000,-77.0113633706615
186310000,-76.4848276329104
186949000,-76.098067785794
187588000,-76.5849609552285
188227000,-76.8880348277381
188866000,-76.5375282640028
189505000,-76.9398701014864
190144000,-76.493030837346
190783000,-77.8976545590246
191422000,-76.7459321547935
192061000,-75.6745201112193
192700000,-76.820788546455
193339000,-75.7992910137803
193978000,-76.5324885353361
194617000,-76.5082575927979
195256000,-76.1818470715306
195895000,-76.785125718426
196534000,-76.6735063731522
197173000,-75.7483428884405
197812000,-77.151396266116
198451000,-75.0100735495679
199090000,-76.0217030094584
199729000,-76.1167493093391
200368000,-76.1573742062907
201007000,-76.5717117782024
201646000,-76.5596128024124
202285000,-76.9938759957358
202924000,-75.8670372433324
203563000,-76.2191887345943
204202000,-76.3266071682779
204841000,-76.3541452501626
205480000,-75.8544466245131
206119000,-76.5564897185734
206758000,-77.2558301232073
207397000,-76.671565315285
208036000,-76.3873219728316
208675000,-75.5043529726273
209314000,-77.3692128208412
209953000,-76.6688662646643
210592000,-76.9761928005115
211231000,-76.1023388149789
211870000,-75.9483223810296
212509000,-77.4514320132733
213148000,-76.4010225399584
213787000,-76.4068631688519
214426000,-76.6838572790819
215065000,-77.0087368135114
215704000,-77.2217019998491
216343000,-76.3885329258615
216982000,-76.4974983841679
217621000,-76.1921592728734
218260000,-77.2133046200205
218899000,-77.1062556995448
219538000,-76.5277139650868
220177000,-76.7721545935677
220816000,-77.0681123549898
221455000,-77.9232659220802
222094000,-77.2135421167243
222733000,-75.9386943227915
223372000,-77.2996837329987
224011000,-76.7982780047198
224650000,-76.9872657848718
225289000,-77.2153428567178
225928000,-76.3824481094777
226567000,-76.5163426856505
227206000,-77.4321257389432
227845000,-76.1482245993712
228484000,-77.3347991006867
229123000,-77.2366789861927
229762000,-77.6617681402754
230401000,-77.1173738013122
231040000,-76.4232011804068
231679000,-76.8535688952237
232318000,-77.3447198042665
232957000,-78.0179624726288
233596000,-76.8527251989756
234235000,-77.7647903391575
234874000,-77.8708867687835
235513000,-77.4460866631592
236152000,-76.4712808470974
236791000,-77.2512938894674
237430000,-76.9447556336638
238069000,-76.884609405598
238708000,-76.6352025342051
239347000,-76.5656779094197
239986000,-76.6632722582991
240625000,-77.1172484946792
241264000,-77.2439617049887
241903000,-76.7333809193781
242542000,-77.2602500580583
243181000,-77.2982209650111
243820000,-77.8134470991861
244459000,-76.6128853760227
245098000,-76.3015374527696
245737000,-76.8282866973781
246376000,-77.0896141060526
247015000,-76.660587966605
247654000,-77.2464672844458
248293000,-76.9472496178149
248932000,-78.2551805634085
249571000,-76.8935535662112
250210000,-77.4193581250683
250849000,-77.6474312191501
251488000,-76.7868579883327
252127000,-77.3296018410732
252766000,-77.3834790010865
253405000,-77.7485002439837
254044000,-76.8179268037351
254683000,-77.7790965925274
255322000,-76.2328544908692
255961000,-76.7115765713201
256600000,-78.4915201253133
257239000,-77.1503702534118
257878000,-77.2469526517975
258517000,-76.6647808777718
259156000,-77.9396913401664
259795000,-77.3484050140367
260434000,-76.7611387656432
261073000,-76.4751682723083
261712000,-76.8250494517321
262351000,-77.682671172981
262990000,-77.5186891427313
263629000,-77.4260711081924
264268000,-76.8152874103291
264907000,-77.3416460886475
265546000,-77.6786230936495
266185000,-77.2392878825245
266824000,-77.337431711199
267463000,-77.4029458810066
268102000,-77.1173636104145
268741000,-77.1064874715335
269380000,-76.3596773790395
270019000,-77.0557508812854
270658000,-77.6818335674691
271297000,-77.3241201844404
271936000,-77.5943661884129
272575000,-77.4525006145297
273214000,-77.5418931334938
273853000,-77.484063060203
274492000,-77.7184584352205
275131000,-78.1190985328955
275770000,-77.1789409907933
276409000,-77.5046605679487
277048000,-78.7173307645913
277687000,-77.1030990273498
278326000,-77.0549219231566
278965000,-76.7662289607761
279604000,-77.3650550153554
280243000,-77.2287074743625
280882000,-77.7658309161733
281521000,-77.4555339247745
282160000,-77.7488848122096
282799000,-77.4808263626963
283438000,-77.7061804900503
284077000,-77.4014421302939
284716000,-77.8022672950782
285355000,-77.4662858584943
285994000,-77.4433604984872
286633000,-77.4563734864544
287272000,-77.5044199183753
287911000,-76.6740080588116
288550000,-78.9064859509654
289189000,-77.7793751657856
289828000,-78.2658859216458
290467000,-76.9036917067435
291106000,-77.6834439153589
291745000,-77.8703688284905
292384000,-77.1417735074877
293023000,-77.310646789469
293662000,-77.5415950190725
